Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,AST_TO_Ratio,ReboundActivity,PF_per_Min,GamesPlayed,Cluster_KMeans,Cluster_Hier,ClusterName_KMeans
Alex Caruso,19.188387096774196,2.129032258064516,5.483870967741935,0.3537741935483871,0.9354838709677419,3.225806451612903,0.2627741935483871,0.3548387096774194,0.45161290322580644,0.1774193548387097,0.6451612903225806,2.129032258064516,2.774193548387097,2.4193548387096775,1.8064516129032258,0.4838709677419355,0.6451612903225806,1.935483870967742,5.548387096774194,6.032258064516129,1.650537634408602,2.774193548387097,0.10190936786844589,31,0,1,Role Players / Low Usage
Alex Ducas,4.694615384615385,0.5384615384615384,1.4615384615384615,0.2436153846153846,0.46153846153846156,1.0769230769230769,0.23076923076923078,0.0,0.0,0.0,0.3076923076923077,0.6923076923076923,1.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.3076923076923077,1.5384615384615385,1.0076923076923077,0.07692307692307693,1.0,0.048197991955081836,13,0,0,Role Players / Low Usage
Alex Len,7.360285714285714,0.6285714285714286,1.1714285714285715,0.35960000000000003,0.02857142857142857,0.17142857142857143,0.02857142857142857,0.2,0.37142857142857144,0.09522857142857144,0.7142857142857143,1.1142857142857143,1.8285714285714285,0.8571428571428571,0.22857142857142856,0.5142857142857142,0.3142857142857143,1.0,1.4857142857142858,2.157142857142857,0.7238095238095238,1.8285714285714285,0.14371053792767716,35,0,0,Role Players / Low Usage
Alex Sarr,26.774146341463414,4.341463414634147,10.926829268292684,0.3918048780487805,1.4146341463414633,4.609756097560975,0.29000000000000004,1.3658536585365855,2.1219512195121952,0.39880487804878045,1.829268292682927,4.804878048780488,6.634146341463414,2.1951219512195124,0.6585365853658537,1.5609756097560976,1.3902439024390243,2.3658536585365852,11.463414634146341,8.921951219512195,1.0443089430894308,6.634146341463414,0.08889385221394742,41,1,1,Primary Playmakers (High Minutes)
Alperen Sengun,31.38257142857143,7.428571428571429,15.2,0.47991428571428574,0.3142857142857143,1.4857142857142858,0.18571428571428572,3.6,4.8,0.6633714285714286,3.342857142857143,7.114285714285714,10.457142857142857,5.0,1.2285714285714286,0.9142857142857143,2.4571428571428573,2.8,18.771428571428572,16.888571428571428,1.9314285714285713,10.457142857142857,0.09087093992423335,35,1,1,Primary Playmakers (High Minutes)
Alperen Şengün,31.476153846153846,8.0,16.153846153846153,0.4936923076923077,0.38461538461538464,1.2307692307692308,0.2692307692307692,3.8461538461538463,6.384615384615385,0.7087692307692308,3.8461538461538463,7.076923076923077,10.923076923076923,5.153846153846154,1.3846153846153846,0.38461538461538464,2.230769230769231,2.923076923076923,20.23076923076923,17.784615384615385,2.051098901098901,10.923076923076923,0.0909470528138443,13,1,1,Primary Playmakers (High Minutes)
Amen Thompson,31.439375,5.270833333333333,9.666666666666666,0.5407708333333333,0.2916666666666667,1.25,0.12983333333333333,2.9583333333333335,4.145833333333333,0.6846875,2.7083333333333335,5.291666666666667,8.0,3.1875,1.4375,1.2083333333333333,2.0,2.3333333333333335,13.791666666666666,13.722916666666668,1.434375,8.0,0.0787369477995376,48,1,1,Primary Playmakers (High Minutes)
Amir Coffey,25.9634,3.52,7.42,0.46086,1.56,3.68,0.38242,1.6,1.78,0.60084,0.48,1.94,2.42,1.12,0.58,0.14,0.76,1.62,10.2,7.314,0.7546666666666667,2.42,0.06558661670544694,50,0,1,Role Players / Low Usage
Andre Drummond,18.81793103448276,2.8275862068965516,5.551724137931035,0.5015172413793103,0.034482758620689655,0.3793103448275862,0.034482758620689655,1.206896551724138,2.103448275862069,0.47393103448275864,2.4482758620689653,5.068965517241379,7.517241379310345,0.6206896551724138,1.103448275862069,0.3793103448275862,1.6206896551724137,2.3793103448275863,6.896551724137931,6.248275862068965,0.3235632183908046,7.517241379310345,0.12212736120878394,29,1,1,Primary Playmakers (High Minutes)
Andre Jackson,18.695,1.3666666666666667,3.6333333333333333,0.3504333333333333,0.6,1.8333333333333333,0.2622,0.23333333333333334,0.43333333333333335,0.10556666666666666,0.9,2.2666666666666666,3.1666666666666665,1.5,0.6333333333333333,0.23333333333333334,1.2333333333333334,2.3333333333333335,3.566666666666667,2.48,0.8944444444444444,3.1666666666666665,0.14241327235881837,30,0,0,Role Players / Low Usage
Andre Jackson Jr.,15.836315789473684,1.894736842105263,3.1052631578947367,0.5585789473684211,0.42105263157894735,0.8947368421052632,0.2631578947368421,0.15789473684210525,0.2631578947368421,0.07894736842105263,1.4736842105263157,1.9473684210526316,3.4210526315789473,1.4210526315789473,0.5263157894736842,0.3157894736842105,0.7368421052631579,1.6842105263157894,4.368421052631579,4.8578947368421055,0.8640350877192983,3.4210526315789473,0.11349769366391511,19,0,0,Role Players / Low Usage
Andrew Nembhard,28.517058823529414,4.088235294117647,8.617647058823529,0.5033235294117647,0.7941176470588235,2.411764705882353,0.30638235294117644,1.8823529411764706,2.4705882352941178,0.5097941176470587,0.5588235294117647,2.8823529411764706,3.4411764705882355,5.088235294117647,1.2647058823529411,0.11764705882352941,1.7647058823529411,2.235294117647059,10.852941176470589,9.726470588235294,2.363235294117647,3.4411764705882355,0.07723457859537856,34,1,1,Primary Playmakers (High Minutes)
Andrew Wiggins,30.14627906976744,6.069767441860465,13.674418604651162,0.43334883720930234,2.186046511627907,5.767441860465116,0.3625813953488372,3.2325581395348837,4.162790697674419,0.6853720930232559,1.5348837209302326,3.046511627906977,4.5813953488372094,2.3488372093023258,0.9302325581395349,0.7674418604651163,1.302325581395349,1.627906976744186,17.558139534883722,13.188372093023256,1.2965116279069768,4.5813953488372094,0.05534714848883363,43,1,1,Primary Playmakers (High Minutes)
Anfernee Simons,32.276041666666664,6.5,15.291666666666666,0.4126458333333333,3.0416666666666665,8.0625,0.34429166666666666,2.3958333333333335,2.6666666666666665,0.6410625,0.3333333333333333,2.4166666666666665,2.75,4.979166666666667,0.8333333333333334,0.10416666666666667,2.0833333333333335,1.7708333333333333,18.4375,12.783333333333333,2.05625,2.75,0.05603026768173611,48,1,1,Primary Playmakers (High Minutes)
Anthony Black,24.704897959183672,3.0816326530612246,7.6938775510204085,0.394204081632653,0.6122448979591837,2.3469387755102042,0.2043469387755102,2.142857142857143,2.836734693877551,0.5615918367346939,0.5918367346938775,1.9795918367346939,2.5714285714285716,3.4081632653061225,1.0204081632653061,0.5102040816326531,1.8979591836734695,2.2857142857142856,8.918367346938776,6.446938775510204,1.4172497570456755,2.5714285714285716,0.09775494768297721,49,1,1,Primary Playmakers (High Minutes)
Anthony Davis,34.27428571428571,9.523809523809524,18.023809523809526,0.5169761904761905,0.6666666666666666,2.238095238095238,0.23252380952380952,6.023809523809524,7.642857142857143,0.7229761904761904,2.8095238095238093,9.047619047619047,11.857142857142858,3.357142857142857,1.2857142857142858,2.142857142857143,2.2142857142857144,1.9523809523809523,25.738095238095237,23.104761904761904,1.3450680272108844,11.857142857142858,0.0553406828413903,42,1,1,Primary Playmakers (High Minutes)
Anthony Edwards,36.72862745098039,9.137254901960784,20.49019607843137,0.44384313725490193,4.1568627450980395,9.882352941176471,0.4103333333333333,4.784313725490196,5.666666666666667,0.7994509803921568,0.8235294117647058,4.96078431372549,5.784313725490196,4.529411764705882,1.1372549019607843,0.6862745098039216,3.450980392156863,1.9803921568627452,27.215686274509803,18.784313725490197,1.1553221288515405,5.784313725490196,0.05404454462485037,51,1,1,Primary Playmakers (High Minutes)
Anthony Gill,5.786944444444444,0.6111111111111112,1.2222222222222223,0.2916944444444444,0.1388888888888889,0.4166666666666667,0.1388888888888889,0.4722222222222222,0.7777777777777778,0.16666666666666666,0.16666666666666666,0.6388888888888888,0.8055555555555556,0.19444444444444445,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.5,1.8333333333333333,1.3833333333333333,0.16203703703703703,0.8055555555555556,0.07576130164987553,36,0,0,Role Players / Low Usage
Antonio Reeves,9.293000000000001,1.65,4.0,0.3805,0.65,2.1,0.2333,0.35,0.4,0.225,0.3,0.6,0.9,0.65,0.3,0.0,0.25,0.35,4.3,2.895,0.575,0.9,0.03170351513508988,20,0,0,Role Players / Low Usage
Ariel Hukporti,7.8521052631578945,0.7368421052631579,1.0526315789473684,0.29473684210526313,0.0,0.0,0.0,0.3157894736842105,0.5789473684210527,0.15789473684210525,0.3684210526315789,1.4736842105263157,1.8421052631578947,0.42105263157894735,0.0,0.631578947368421,0.5789473684210527,1.0,1.7894736842105263,1.7,0.2236842105263158,1.8421052631578947,0.14852708918629523,19,0,0,Role Players / Low Usage
Ausar Thompson,20.602,3.5,6.8,0.5214333333333333,0.23333333333333334,1.0666666666666667,0.11663333333333334,1.3333333333333333,2.1666666666666665,0.40236666666666665,1.5666666666666667,3.4,4.966666666666667,1.8666666666666667,1.5666666666666667,0.43333333333333335,1.3333333333333333,2.6666666666666665,8.566666666666666,7.766666666666667,1.0316666666666667,4.966666666666667,0.12867653806677987,30,1,1,Primary Playmakers (High Minutes)
Austin Reaves,34.66181818181818,6.090909090909091,13.704545454545455,0.45013636363636367,2.5454545454545454,7.045454545454546,0.36811363636363637,3.8181818181818183,4.4772727272727275,0.7280227272727273,0.8181818181818182,3.4545454545454546,4.2727272727272725,6.090909090909091,1.1363636363636365,0.18181818181818182,2.4545454545454546,1.9545454545454546,18.545454545454547,15.025,2.4674242424242423,4.2727272727272725,0.056394268797525786,44,1,1,Primary Playmakers (High Minutes)
Ayo Dosunmu,30.67170731707317,4.829268292682927,9.853658536585366,0.49517073170731707,1.4390243902439024,4.170731707317073,0.3455609756097561,1.3170731707317074,1.6585365853658536,0.4288536585365853,0.6097560975609756,2.951219512195122,3.5609756097560976,4.658536585365853,0.8536585365853658,0.43902439024390244,1.3170731707317074,2.292682926829268,12.414634146341463,10.81219512195122,2.305691056910569,3.5609756097560976,0.07694132502733386,41,1,1,Primary Playmakers (High Minutes)
Bam Adebayo,33.96775510204082,6.387755102040816,13.551020408163266,0.4638775510204082,0.7346938775510204,2.5510204081632653,0.2513265306122449,2.8979591836734695,4.020408163265306,0.616673469387755,2.5306122448979593,7.428571428571429,9.959183673469388,4.510204081632653,1.2653061224489797,0.7959183673469388,2.2653061224489797,2.183673469387755,16.408163265306122,14.869387755102041,1.5940719144800777,9.959183673469388,0.06512005483007158,49,1,1,Primary Playmakers (High Minutes)
Ben Sheppard,20.365833333333335,2.111111111111111,5.027777777777778,0.3988611111111111,1.25,3.4722222222222223,0.31927777777777777,0.3055555555555556,0.3611111111111111,0.11944444444444444,0.6666666666666666,1.8888888888888888,2.5555555555555554,1.2777777777777777,0.6111111111111112,0.2777777777777778,0.3333333333333333,2.25,5.777777777777778,4.580555555555556,0.9953703703703702,2.5555555555555554,0.12125802371686917,36,0,0,Role Players / Low Usage
